Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Usage Summary,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
1,00618760530,P,2020121,Irish (IMRO) General,Overseas, ,.. Overrated,.04,50,01/07/2012,01/12/2017,E - AER LINGUS, ,, ,0,Manderson Stephen Paul,Redmond Sean Martin, , ,070776FU, ,070776FU, , , , , , , , 
2,00618760530,P,2020121,Irish (IMRO) General,Overseas, ,.. Overrated,.04,50,01/07/2012,01/12/2017,F - AER LINGUS, ,, ,0,Manderson Stephen Paul,Redmond Sean Martin, , ,070776FU, ,070776FU, , , , , , , , 
3,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,Active,.07,16.67,01/01/2020,31/03/2020,SS AU-APPLE MUSIC [INDIVIDUAL], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
4,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,Active,.01,16.67,01/01/2020,31/03/2020,SS AU-SPOTIFY [FAMILY], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
5,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,Active,.01,16.67,01/01/2020,31/03/2020,SS AU-SPOTIFY [FAMILY], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
6,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,Active,.01,16.67,01/01/2020,31/03/2020,SS AU-SPOTIFY [FAMILY], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
7,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,Active,.04,16.67,01/01/2020,31/03/2020,SS AU-SPOTIFY [INDIVIDUAL], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
8,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,Active,.04,16.67,01/01/2020,31/03/2020,SS AU-SPOTIFY [INDIVIDUAL], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
9,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,Active,.04,16.67,01/01/2020,31/03/2020,SS AU-SPOTIFY [INDIVIDUAL], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
10,00618760530,P,2020121,Canadian (SOCAN) General & Broadcasting,Overseas, ,Active,.02,16.67,01/10/2019,31/12/2019,APPLE MUSIC BEATS, ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
11,00618760530,P,2020121,Canadian (SOCAN) General & Broadcasting,Overseas, ,Active,.02,16.67,01/10/2019,31/12/2019,SPOTIFY, ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
12,00618760530,P,2020121,French (SACEM) PEL,Online, ,Active,.01,16.66,28/08/2020,05/10/2020,GOOGLE, ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
13,00618760530,P,2020121,French (SACEM) PEL,Online, ,Active,.01,16.66,28/08/2020,05/10/2020,GOOGLE, ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
14,00618760530,P,2020121,New Zealand Online,Overseas, ,Active,.02,16.67,01/01/2020,31/03/2020,SS NZ-SPOTIFY [INDIVIDUAL], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
15,00618760530,P,2020121,New Zealand Online,Overseas, ,Active,.02,16.67,01/01/2020,31/03/2020,SS NZ-SPOTIFY [INDIVIDUAL], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
16,00618760530,P,2020121,New Zealand Online,Overseas, ,Active,.01,16.67,01/01/2020,31/03/2020,SS NZ-SPOTIFY [INDIVIDUAL], ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
17,00618760530,P,2020121,SIAE Tax Refund,Overseas, ,Active,.67,16.67,01/01/2018,30/06/2018,DANZA, ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
