Asset Title,Asset Version,Asset Artist,Asset ISRC,Asset Duration,Product Title,Product Version,Product Artist,Product UPC,Product Catalog Number,Product Label,Currency,Sale Net Receipts,Reported Royalty
Day One,,Mori Briscoe,QZ85M2045249,151,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0022649769,0.0020384792
In Loving Memory,,Mori Briscoe,QZ85M2045250,116,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0,0
Fallen Soldiers,,Mori Briscoe,QZ85M2045251,127,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0,0
Party,,Mori Briscoe featuring Milo Floxks,QZ85M2045252,208,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0023921551,0.0021529396
No Remorse,,Mori Briscoe featuring Ktone,QZ85M2045254,234,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0163122611,0.014681035
Critical Pt. 2,,Mori Briscoe featuring GlizzyGlo,QZ85M2045255,181,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0,0
Suburban Pt. 2,,Mori Briscoe featuring Yazier Belime,QZ85M2045256,177,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0093009181,0.0083708263
Love Don't Live Here,,Mori Briscoe,QZ85M2047964,126,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0139959942,0.0125963948
Spin,,Mori Briscoe featuring Yazier Belime,QZ85M2047965,211,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0068708189,0.006183737
Remember,,Mori Briscoe,QZ85M2047966,164,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0,0
Real Sh*t,,Mori Briscoe,QZ85M2047967,151,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0,0
Just A Message Pt. 2,,Mori Briscoe,QZ85M2047968,64,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0023921551,0.0021529396
Hood Angels,,Mori Briscoe,QZ85M2047969,121,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0022649769,0.0020384792
Love Songs,,Mori Briscoe,QZ85M2047970,143,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0091870857,0.0082683771
Impossible (Bonus Track),,Mori Briscoe featuring Denz Flocks,QZ85M2047971,178,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,0.0114907526227513513,0.0103416773953822845
Response 3,,Mori Briscoe featuring Nas Blixky,QZL382036466,194,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.1959240727150514141,0.1763316652588280677
Structure Up,,Mori Briscoe featuring GlizzyGlo,QZL382036467,206,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.0046950761,0.0042255685
War Time,,Mori Briscoe,QZL382036468,145,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.0022649769,0.0020384792
Homicide,,Mori Briscoe featuring Swerv Rixh,QZL382036469,199,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.004657132,0.0041914188
D.O.A,,Mori Briscoe featuring Chico Dinero,QZL382036470,194,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0,0
Victim,,Mori Briscoe,QZL382036471,122,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.0369001195,0.0332101076
Mad Max,,Mori Briscoe featuring Saint Laurent Sour,QZL382036472,164,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.0023921551,0.0021529396
Warning,,Mori Briscoe,QZL382036473,172,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.0022649769,0.0020384792
Criminal,,Mori Briscoe,QZL382036474,119,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0,0
EBK,,Mori Briscoe featuring Niko Blixky,QZL382036475,230,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.0435678717,0.0392110845
Bodies,,Mori Briscoe featuring Niko Blixky,QZL382036476,144,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.0023921551,0.0021529396
Strapped Up,,Mori Briscoe,QZL382036477,125,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0,0
Briscoe Order,,Mori Briscoe,QZL382036478,236,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0,0
Calm Down,,Mori Briscoe,QZL382036479,143,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,0.0023921551,0.0021529396
They Want Me Gone Intro,,Mori Briscoe,QZMWW2068440,93,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.2244117698898633183,0.2019705928294294937
Location,,Mori Briscoe featuring Milo Floxks,QZMWW2068441,151,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.3971315388486496776,0.3574183849272432854
I'm Back,,Mori Briscoe,QZMWW2068442,108,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.2441021619261788159,0.2196919456155720171
They Know,,Mori Briscoe,QZMWW2068443,120,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.1453132166794891254,0.1307818949417280762
Let Em Have It,,Mori Briscoe featuring Breezy Blixky,QZMWW2068444,125,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.2358831259213903494,0.2122948130830856167
Groupies,,Mori Briscoe,QZMWW2068445,120,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,2.9822310418803163486,2.684007937242524526
Brush Em,,Mori Briscoe,QZMWW2068446,93,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.2212337812955520013,0.1991104031245493084
Started Up,,Mori Briscoe featuring Ray Mula,QZMWW2068447,191,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.1998506559991637722,0.1798655901305364639
Papa,,Mori Briscoe,QZMWW2068448,120,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.1533721150403337476,0.1380349032670518262
