"Date","Order ID","Type","Detail","Item ID","Document","Price","AU RWT","US RWT","US BWT","Sales Tax Amount","Sales Tax Type","Amount","Site","Other Party Country","Other Party Region","Other Party City","Other Party Zipcode"
"2020-12-31 20:58:58 +1100","138859847","Author Fee","Author Fee for sale IVIP41533284","19290827","","12.38","","","","","","-12.38","AudioJungle","","","",""
"2020-12-31 20:58:58 +1100","138859847","Sale","Sad to Inspiring (Music Broadcast License (1 Million))","19290827","IVIP41533284","99.00","","","","","","99.00","AudioJungle","China","Beijing","Beijing","100027"
"2020-12-31 20:33:07 +1100","138858942","Author Fee","Author Fee for sale IVIP41533052","20292678","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-31 20:33:07 +1100","138858942","Sale","Enterprise (Music Standard License)","20292678","IVIP41533052","28.00","","","","","","28.00","AudioJungle","China","","北京",""
"2020-12-31 18:02:11 +1100","138854325","Author Fee","Author Fee for sale IVIP41531787","9186580","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-31 18:02:11 +1100","138854325","Sale","Soccer Anthem (Music Standard License)","9186580","IVIP41531787","32.00","","3.20","","","","28.80","AudioJungle","United States","Arizona","TUCSON, AZ","85705"
"2020-12-31 07:27:55 +1100","138838067","Author Fee","Author Fee for sale IVIP41527152","29703543","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-31 07:27:55 +1100","138838067","Sale","The Violin (Music Standard License)","29703543","IVIP41527152","25.00","","","","","","25.00","AudioJungle","France","","Castelginest","31780"
"2020-12-31 02:57:04 +1100","138825741","Author Fee","Author Fee for sale IVIP41523804","21569037","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-31 02:57:04 +1100","138825741","Sale","Inspiring Build up (Music Standard License)","21569037","IVIP41523804","25.00","","2.50","","","","22.50","AudioJungle","United States","Virginia","Charlottesville","22902"
"2020-12-30 22:37:45 +1100","138813621","Author Fee","Author Fee for sale IVIP41520688","6553819","","1.00","","","","","","-1.00","AudioJungle","","","",""
"2020-12-30 22:37:45 +1100","138813621","Sale","Classic Piano Story (Music Standard License)","6553819","IVIP41520688","8.00","","","","","","8.00","AudioJungle","United Kingdom","Surrey","Surbiton","Kt59af"
"2020-12-30 21:05:18 +1100","138809778","Author Fee","Author Fee for sale IVIP41519676","17723225","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-30 21:05:18 +1100","138809778","Sale","a Documentary Movie (Music Standard License)","17723225","IVIP41519676","32.00","","","","","","32.00","AudioJungle","Spain","Madrid","MADRID","28002"
"2020-12-30 19:49:12 +1100","138806601","Author Fee","Author Fee for sale IVIP41518920","18103534","","4.25","","","","","","-4.25","AudioJungle","","","",""
"2020-12-30 19:49:12 +1100","138806601","Sale","Hope Piano (Music Standard License)","18103534","IVIP41518920","34.00","","","","","","34.00","AudioJungle","China","","Beijing",""
"2020-12-30 16:40:36 +1100","138800485","Author Fee","Author Fee for sale IVIP41517499","23331476","","4.38","","","","","","-4.38","AudioJungle","","","",""
"2020-12-30 16:40:36 +1100","138800485","Sale","Wild West (Music Standard License)","23331476","IVIP41517499","35.00","","","","","","35.00","AudioJungle","China","beijing","beijing","100010"
"2020-12-29 21:17:47 +1100","138754602","Author Fee","Author Fee for sale IVIP41505562","10835222","","2.25","","","","","","-2.25","AudioJungle","","","",""
"2020-12-29 21:17:47 +1100","138754602","Sale","Inspiring Building Uplifting (Music Standard License)","10835222","IVIP41505562","18.00","","","","","","18.00","AudioJungle","Singapore","","Singapore","200816"
"2020-12-29 20:52:20 +1100","138753325","Author Fee","Author Fee for sale IVIP41505252","21226001","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-29 20:52:20 +1100","138753325","Sale","Scared (Music Standard License)","21226001","IVIP41505252","25.00","","","","","","25.00","AudioJungle","Russian Federation","","Moskow",""
"2020-12-29 18:45:01 +1100","138748312","Author Fee","Author Fee for sale IVIP41503987","25736737","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-29 18:45:01 +1100","138748312","Sale","Loss (Music Standard License)","25736737","IVIP41503987","25.00","","","","","","25.00","AudioJungle","China","北京","北京",""
"2020-12-29 15:06:59 +1100","138742061","Author Fee","Author Fee for sale IVIP41502627","12415649","","3.00","","","","","","-3.00","AudioJungle","","","",""
"2020-12-29 15:06:59 +1100","138742061","Sale","Army (Music Standard License)","12415649","IVIP41502627","24.00","","","","","","24.00","AudioJungle","Macao","","Macao",""
"2020-12-29 13:02:55 +1100","138739053","Author Fee","Author Fee for sale IVIP41501827","26068651","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-29 13:02:55 +1100","138739053","Sale","Heavenly Vocal (Music Standard License)","26068651","IVIP41501827","28.00","","","","","","28.00","AudioJungle","Japan","","Tatsugo","8940102"
"2020-12-29 09:21:40 +1100","138733071","Author Fee","Author Fee for sale IVIP41500093","25117409","","12.38","","","","","","-12.38","AudioJungle","","","",""
"2020-12-29 09:21:40 +1100","138733071","Sale","Sad to Epic (Music Broadcast License (1 Million))","25117409","IVIP41500093","99.00","","","","","","99.00","AudioJungle","Colombia","BOGOTA","BOGOTA","110221"
"2020-12-29 06:59:36 +1100","138727260","Author Fee","Author Fee for sale IVIP41498536","19826008","","3.13","","","","","","-3.13","AudioJungle","","","",""
