Asset Title,Asset Version,Asset Artist,Asset ISRC,Asset Duration,Product Title,Product Version,Product Artist,Product UPC,Product Catalog Number,Product Label,Currency,Sale Net Receipts,Reported Royalty
Day One,,Mori Briscoe,QZ85M2045249,151,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,3.5661505256669221433,3.2095354732055947763
In Loving Memory,,Mori Briscoe,QZ85M2045250,116,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,5.6598246096162951141,5.0938421487518187325
Fallen Soldiers,,Mori Briscoe,QZ85M2045251,127,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,3.9636163952342257855,3.5672547557590149245
Party,,Mori Briscoe featuring Milo Floxks,QZ85M2045252,208,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,4.5021989452997052553,4.0519790509676175542
Voice Of The Trenches,,Mori Briscoe featuring Brozayy,QZ85M2045253,184,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,2.5960884734541646397,2.3364796262412661529
No Remorse,,Mori Briscoe featuring Ktone,QZ85M2045254,234,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,3.4657780342469781661,3.1192002308958569144
Critical Pt. 2,,Mori Briscoe featuring GlizzyGlo,QZ85M2045255,181,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,7.6406210236797858484,6.8765589213253838285
Suburban Pt. 2,,Mori Briscoe featuring Yazier Belime,QZ85M2045256,177,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,10.2036603215727689517,9.183294289583374881
Love Don't Live Here,,Mori Briscoe,QZ85M2047964,126,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,12.637528215071216457,11.3737753936684010708
Spin,,Mori Briscoe featuring Yazier Belime,QZ85M2047965,211,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,5.3884348502595062514,4.8495913653350150157
Remember,,Mori Briscoe,QZ85M2047966,164,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,2.1790090810370333015,1.9611081730694245134
Real Sh*t,,Mori Briscoe,QZ85M2047967,151,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,1.7089217242827710252,1.5380295519616470525
Just A Message Pt. 2,,Mori Briscoe,QZ85M2047968,64,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,3.2482016323448045252,2.9233814691274772025
Hood Angels,,Mori Briscoe,QZ85M2047969,121,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,2.7122342035216043018,2.4410107832744798259
Love Songs,,Mori Briscoe,QZ85M2047970,143,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,4.1198339558463793787,3.7078505602317414408
Impossible (Bonus Track),,Mori Briscoe featuring Denz Flocks,QZ85M2047971,178,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,7.0603477663125755828,6.3543129896041575821
Response 3,,Mori Briscoe featuring Nas Blixky,QZL382036466,194,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,63.9599514949486173173,57.5639563454965963858
Structure Up,,Mori Briscoe featuring GlizzyGlo,QZL382036467,206,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,38.9356161090789949124,35.0420544982428837036
