WRITERS,SOURCE,TERRITORY,REVENUE_TYPE,USAGE,SONG_ID,SONG_TITLE,NOTES,CONFIG,SELECTION,UNITS,BEG_PER,End_PER,AMOUNT_RECEIVED,SHARE,ROYALTY_AMT
"JAN BUCKINGHAM\FRED MACRAE\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","LOVEISLIKE02","(LOVE IS LIKE A) WILD ROSE","Use: GN-IS General - Internet Interactive Self-Representing SPOTIR","","",0,"07/01/2018","09/30/2018",.003350,.000000,.000000
"JAN BUCKINGHAM\FRED MACRAE\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","LOVEISLIKE02","(LOVE IS LIKE A) WILD ROSE","Use: GN-AM Internet Audio and Music Videos Pandora","","",0,"07/01/2018","09/30/2018",.000470,.000000,.000000
"JAN BUCKINGHAM\FRED MACRAE\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","LOVEISLIKE02","(LOVE IS LIKE A) WILD ROSE","Use: GN-IN General - Internet Streaming APPLE SUBSCRIPTION","","",0,"07/01/2018","09/30/2018",.000090,.000000,.000000
"JAN BUCKINGHAM\FRED MACRAE\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","LOVEISLIKE02","(LOVE IS LIKE A) WILD ROSE","Use: GN-IS General - Internet Interactive Self-Representing RHAPSODY","","",0,"07/01/2018","09/30/2018",.000090,.000000,.000000
"STEVE CLARK\FRED MACRAE\BOB MORRISON","KODA","DENMARK","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",0,"01/01/2018","06/30/2018",.003005,41.000000,.001232
"STEVE CLARK\FRED MACRAE\BOB MORRISON","PRS","UK","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service Single","","",1,"01/01/2016","12/31/2018",.000254,41.000000,.000104
"STEVE CLARK\FRED MACRAE\BOB MORRISON","PRS","UK","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single","","",1,"01/01/2016","12/31/2018",.000254,41.000000,.000104
"STEVE CLARK\FRED MACRAE\BOB MORRISON","HFA - CONS. DIG STREAM (SPOTIFY, NAPSTER, RHAPSODY, 7DIGITAL","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","APPLE  INC",834,"10/01/2018","12/31/2018",.061900,45.000000,.027855
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - SPOTIFY CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES","F","",15,"10/01/2018","12/31/2018",.000305,44.000000,.000134
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","F","7fb621c78f7b54f97d76",52,"10/01/2018","12/31/2018",.003936,44.000000,.001732
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDDOWNLD","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES","F","",2,"10/01/2018","12/31/2018",.025905,44.000000,.011398
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDDOWNLD","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\One Woman Man","T","193043569",1,"10/01/2018","12/31/2018",.010040,44.000000,.004418
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - SPOTIFY CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES","F","",71,"10/01/2018","12/31/2018",.004338,44.000000,.001909
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - YOUTUBE","CANADA","DIGVIDSTRM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",535,"10/01/2018","12/31/2018",.003163,44.000000,.001392
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","F","193043569",167,"10/01/2018","12/31/2018",.019195,44.000000,.008446
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - AMAZON DIGITAL SERVICES","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","F","RB0013AWY6O",11,"10/01/2018","12/31/2018",.000543,44.000000,.000239
"STEVE CLARK\FRED MACRAE\BOB MORRISON","AMCOS","AUSTRALIA","DPDDOWNLD","","PLACEINTHE","A PLACE IN THE COUNTRY","Itunes Store","","",1,"10/01/2018","12/31/2018",.006592,41.000000,.002703
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",90,"11/01/2016","12/31/2018",.071190,45.000000,.032036
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",43,"11/01/2016","12/31/2018",.041810,45.000000,.018815
