"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","ISRC","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","22 ♦ Da Brat","Breeve On Em","Unrestricted","So So Def","USSM19929827","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,42,,"CURRENT",.02384248074089569
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,87,,"CURRENT",.04938799582042703
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,13,,"CURRENT",.01317857963654495
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,68,,"CURRENT",.0386021116757358
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,20,,"CURRENT",.02027473790237644
"","DA BRAT","FAB FIVE FREDDY FREESTYLE FEAT JD.","","SONY","","LIVE365.COM - Subscription & Nonsubscription Webcast","Webcasting",01-SEP-14,31-JAN-15,124,,"CURRENT",.1269158769830541
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","LIVE365.COM - Subscription & Nonsubscription Webcast","Webcasting",01-SEP-14,31-JAN-15,16,,"CURRENT",.01632242803135884
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","CENLA BROADCASTING COMPANY","Webcasting",01-MAY-15,31-MAY-15,,,"CURRENT",.0679288343199241
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-MAY-15,31-MAY-15,76,,"CURRENT",.0774021570345965
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,47,,"CURRENT",.0266808713052881
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,22,,"CURRENT",.0223022116926141
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,82,,"CURRENT",.04654960525603463
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,20,,"CURRENT",.02027473790237643
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,116,,"CURRENT",.06585066109390223
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,30,,"CURRENT",.0304121068535649
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","","LIVE365.COM - Subscription & Nonsubscription Webcast","Webcasting",01-SEP-14,31-JAN-15,11,,"CURRENT",.01125699871234646
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","","RHAPSODY.COM","Webcasting",01-MAY-15,31-MAY-15,20,,"CURRENT",.0165328145889864
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,2061,,"CURRENT",1.1699845906425166
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,270,,"CURRENT",.2737089616820811
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","iHeart Media","Webcasting",01-MAY-15,31-MAY-15,156,,"CURRENT",.158132903647798
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,2803,,"CURRENT",1.5912017503983482
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,399,,"CURRENT",.40448102115241
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,2094,,"CURRENT",1.18871796836751
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,587,,"CURRENT",.595063557434748
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","UNIVISION.COM","Webcasting",01-MAY-15,31-MAY-15,3578,,"CURRENT",3.64684765827026
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,50673,,"CURRENT",28.7659530138906
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,6160,,"CURRENT",6.24461927393194
"","DA BRAT","WHAT'S ON YA MIND","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,19,,"CURRENT",.010785884144690797
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,186,,"CURRENT",.10558812899539472
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,31,,"CURRENT",.03142584374868368
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","iTunes Radio - Universal","Direct Licensing",01-MAY-15,31-MAY-15,1348,,"CURRENT",.477206822026343
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,84,,"CURRENT",.0476849614817914
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,14,,"CURRENT",.0141923165316634
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","iHeart Media","Webcasting",01-MAY-15,31-MAY-15,270,,"CURRENT",.273691564005805
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","SONGZA - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,,,"CURRENT",.124966379902914
"","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","iTunes Radio - Universal","Direct Licensing",01-MAY-15,31-MAY-15,174,,"CURRENT",.061597913228919
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,22,,"CURRENT",.0124889184833265
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","iTunes Radio - Universal","Direct Licensing",01-MAY-15,31-MAY-15,776,,"CURRENT",.274712532561159
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","LIVE365.COM - Subscription & Nonsubscription Webcast","Webcasting",01-SEP-14,31-JAN-15,12,,"CURRENT",.01224526779823027
"","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,377,,"CURRENT",.214014648555182
"","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,59,,"CURRENT",.0598104768120104
"","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","iHeart Media","Webcasting",01-MAY-15,31-MAY-15,107.2,,"CURRENT",.108665687634897
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,5502,,"CURRENT",3.12336497705733
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,729,,"CURRENT",.7390141965416211
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","SIRIUS XM RADIO, INC","Cable Radio",01-MAY-15,31-MAY-15,,,"CURRENT",.120037849639442
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","SIRIUS XM RADIO, INC","Satellite Radio",01-MAY-15,31-MAY-15,,1,"CURRENT",10.3206628440281
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","SIRIUS XM RADIO, INC - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,,,"CURRENT",.137443934188136
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","SONGZA - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,,,"CURRENT",.0438314914584848
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","iHeart Media","Webcasting",01-MAY-15,31-MAY-15,222,,"CURRENT",.225035285960329
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","iTunes Radio - Universal","Direct Licensing",01-MAY-15,31-MAY-15,668,,"CURRENT",.23647934503976
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,2366,,"CURRENT",1.34312641507045
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","PANDORA.COM - Subscription Webcast","Webcasting",01-MAY-15,31-MAY-15,327,,"CURRENT",.331491964703855
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","iHeart Media","Webcasting",01-MAY-15,31-MAY-15,14,,"CURRENT",.0141914144299305
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","iTunes Radio - Universal","Direct Licensing",01-MAY-15,31-MAY-15,178,,"CURRENT",.0630139572111933
"","Da Brat","Fuck You","Unrestricted","So So Def","USSM19929833","iHeart Media","Webcasting",01-MAY-15,31-MAY-15,269,,"CURRENT",.272677891546524
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","GRAYV.COM - Subscription Webcast","Webcasting",01-JUN-13,30-JUN-13,,,"CURRENT",.791406181255625
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","L & L BROADCASTING - COLUMBIA, SC","Webcasting",01-NOV-14,30-NOV-14,30,,"CURRENT",.0281434681305792
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","PAMAL BROADCASTING LTD.","Webcasting",01-JUL-14,30-NOV-14,,,"CURRENT",.03095943612520863
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","LIVE365.COM - Subscription & Nonsubscription Webcast","Webcasting",01-SEP-14,31-JAN-15,246,,"CURRENT",.25184142869549651
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","BICOASTAL MEDIA LLC","Webcasting",01-APR-15,30-APR-15,,,"CURRENT",.0580689369565323
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","SKY.FM - Subscription Webcast","Webcasting",01-JUN-14,30-APR-15,,,"CURRENT",.0324835978341226
"","Da Brat","Funkdafied","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400530","SONGZA - Nonsubscription Webcast","Webcasting",01-MAY-15,31-MAY-15,,,"CURRENT",.0223820381915664
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","BATANGA.COM","Webcasting",01-MAY-15,31-MAY-15,11,,"CURRENT",.010257776627937347
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","COX RADIO INTERACTIVE","Webcasting",01-MAY-15,31-MAY-15,713,,"CURRENT",.759934938357439
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","CUMULUS MEDIA, INC.","Webcasting",01-MAY-15,31-MAY-15,5756,,"CURRENT",5.7165806145298028
