,Song Name,Artist,Territory,Usage,A,B,Units,Period - Start,Period - End,Price,Share,Amount
0,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0480,0680,0.15,90.000,0.14
1,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0480,0680,0.02,90.000,0.02
2,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0480,0680,0.44,90.000,0.40
3,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,,531,0118,0318,0.21,90.000,0.19
4,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,USTC80912997,94,0118,0318,0.04,90.000,0.04
5,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,CZEC,CABIN FEVER 2:,,0318,0518,0.31,45.000,0.14
6,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,MECH.,CZEC,RETRANSMISSION,2,1701,1703,0.46,45.000,0.21
7,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,MECH.,CZEC,RETRANSMISSION,2,1701,1703,0.46,45.000,0.21
8,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,PERF.,CZEC,RETRANSMISSION,2,1701,1703,0.46,45.000,0.21
9,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,PERF.,CZEC,RETRANSMISSION,2,1701,1703,0.46,45.000,0.21
10,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,AMAZON MUSIC UNLIMITED,STREAM.M,USA,,19,1116,0318,0.02,45.000,0.01
11,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,AMAZON MUSIC UNLIMITED,STREAM.M,USA,,19,1116,0318,0.02,45.000,0.01
12,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,AMAZON PRIME MUSIC,STREAM.M,USA,,107,0714,1217,0.10,45.000,0.05
13,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,AMAZON PRIME MUSIC,STREAM.M,USA,,107,0714,1217,0.10,45.000,0.05
14,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,AMAZON PRIME MUSIC,STREAM.M,USA,,30,1016,0318,0.03,45.000,0.01
15,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,AMAZON PRIME MUSIC,STREAM.M,USA,,30,1016,0318,0.03,45.000,0.01
16,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,MECH.,USA,,326,0713,1217,7.47,90.000,6.72
17,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,DOWNLOAD,USA,,142,0713,1217,3.11,90.000,2.80
18,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,AMAZON MUSIC UNLIMITED,STREAM.M,USA,,22,1116,0318,0.02,45.000,0.01
