,Song Name,C,Territory,Usage,A,B,Units,Period - Start,Period - End,Price,Share,Amount
0,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0420,0620,0.02,90.000,0.02
1,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,APPLE SUBSCRIPT,,0420,0620,0.14,90.000,0.13
2,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,PANDORA,,0420,0620,0.11,90.000,0.10
3,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,PANDORA PLUS,,0420,0620,0.03,90.000,0.03
4,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,PANDORA PREMIUM,,0420,0620,0.02,90.000,0.02
5,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,SPOTIFY,,0420,0620,0.10,90.000,0.09
6,AFTERGLOW,RUZUMNA/FISK,"MUSIC REPORTS,INC.",STREAM.M,USA,USTC80912997,,1212,0520,0.01,90.000,0.01
7,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,USTC80912997,176,1212,0520,0.08,90.000,0.07
8,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,USTC80912997,226,1114,0320,0.09,90.000,0.08
9,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,USTC80912997,,1114,0320,0.02,90.000,0.02
10,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0420,0620,1.61,45.000,0.72
11,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0420,0620,1.61,45.000,0.72
12,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0420,0620,1.60,45.000,0.72
13,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0420,0620,1.60,45.000,0.72
14,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,MEXI,SACM-CINEMAX ES,,0413,0919,0.02,45.000,0.01
15,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,MEXI,SACM-CINEMAX ES,,0413,0919,0.02,45.000,0.01
16,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,MEXI,SACM-CINEMAX OE,,0413,0919,0.02,45.000,0.01
17,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,MEXI,SACM-CINEMAX OE,,0413,0919,0.02,45.000,0.01
18,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,MEXI,SACM-MAX PRIME,,0413,0919,0.02,45.000,0.01
19,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,MEXI,SACM-MAX PRIME,,0413,0919,0.02,45.000,0.01
20,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,MEXI,SACM-MAX PRIME,,0413,0919,0.02,45.000,0.01
21,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,MEXI,SACM-MAX PRIME,,0413,0919,0.02,45.000,0.01
22,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0420,0620,0.04,45.000,0.02
23,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0420,0620,0.04,45.000,0.02
24,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,MECH.,CZEC,LOTOS SPOL. S,,1910,1912,0.10,45.000,0.05
25,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,MECH.,CZEC,LOTOS SPOL. S,,1910,1912,0.10,45.000,0.05
26,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,MECH.,CZEC,PRIMA MAX,4,1907,1909,0.20,45.000,0.09
27,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,MECH.,CZEC,PRIMA MAX,4,1907,1909,0.20,45.000,0.09
28,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,PERF.,CZEC,"OBECNI DUM, PR",,1910,1912,0.10,45.000,0.05
29,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,PERF.,CZEC,"OBECNI DUM, PR",,1910,1912,0.10,45.000,0.05
30,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,PERF.,CZEC,PRIMA MAX,4,1907,1909,0.20,45.000,0.09
31,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SCHUBERT MUSICPUBLISHING AUSTRIA,PERF.,CZEC,PRIMA MAX,4,1907,1909,0.20,45.000,0.09
32,BUTTERFLY,RASTEGAR/RUZUMNA/WICKS/CAREN/LOPEZ,SOCAN,D.PERF,CANA,,4010,0719,0919,0.14,22.500,0.03
33,BUTTERFLY,RASTEGAR/RUZUMNA/WICKS/CAREN/LOPEZ,SOCAN,D.PERF,CANA,,4010,0719,0919,0.14,22.500,0.03
34,BUTTERFLY,RASTEGAR/RUZUMNA/WICKS/CAREN/LOPEZ,SOCAN,D.PERF,CANA,,4010,0719,0919,0.14,22.500,0.03
35,BUTTERFLY,RASTEGAR/RUZUMNA/WICKS/CAREN/LOPEZ,SOCAN,D.PERF,CANA,,4010,0719,0919,0.14,22.500,0.03
36,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,AMAZON MUSIC UNLIMITED,STREAM.M,USA,USA6G1456605,,1116,0520,0.02,45.000,0.01
37,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,"MUSIC REPORTS,INC.",STREAM.M,USA,USA6G1456605,,1212,0520,0.03,45.000,0.01
38,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,"MUSIC REPORTS,INC.",STREAM.M,USA,USA6G1456605,,1114,0320,0.05,45.000,0.02
39,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,DOWNLOAD,USA,,6,0719,1219,0.14,45.000,0.06
40,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,YOUTUBE MUSIC,D.VIDEOS,USA,,40,0120,0320,0.02,45.000,0.01
41,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,YOUTUBE MUSIC,D.VIDEOS,USA,USA6G1456605,,0120,0320,0.02,45.000,0.01
42,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,APPLE COMPUTERINC.CANADA,DOWNLOAD,CANA,,,0113,0915,0.06,45.000,0.03
43,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,PERF.,USA,,,0420,0620,0.06,90.000,0.05
44,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,PERF.,USA,,,0420,0620,0.01,90.000,0.01
45,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,PERF.,USA,,,0420,0620,0.32,90.000,0.29
46,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,PERF.,USA,SIRIRS,,0420,0620,0.51,90.000,0.46
47,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,D.PERF,USA,AMAZON MUSIC UN,,0420,0620,0.05,90.000,0.05
48,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,D.PERF,USA,APPLE SUBSCRIPT,,0420,0620,0.09,90.000,0.08
49,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,D.PERF,USA,PANDORA,,0420,0620,0.03,90.000,0.03
50,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,D.PERF,USA,SPOTIFY,,0420,0620,0.08,90.000,0.07
51,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,D.VID.P,USA,GOSSIP GIRL,,0420,0620,0.70,90.000,0.63
52,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,"MUSIC REPORTS,INC.",STREAM.M,USA,USA6G1456606,,1114,0320,0.02,45.000,0.01
53,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,DOWNLOAD,USA,,6,0719,1219,0.13,45.000,0.06
54,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,"SPOTIFY USA, INC.",STREAM.M,USA,,259,1216,0320,0.03,45.000,0.01
55,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,"SPOTIFY USA, INC.",STREAM.M,USA,,259,1216,0320,0.03,45.000,0.01
56,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,APPLE COMPUTERINC.CANADA,DOWNLOAD,CANA,,,0113,0915,0.04,45.000,0.02
57,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,APPLE COMPUTERINC.CANADA,DOWNLOAD,CANA,,,0113,0915,0.02,45.000,0.01
58,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,FERMATA DO BRASIL,PERF.,BRAZ,,,2002,2004,0.21,45.000,0.09
59,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,SOCAN,PERF.,CANA,GOSSIP GIRL,3,0719,0919,0.19,45.000,0.09
60,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,SOCAN,PERF.,CANA,GOSSIP GIRL,3,0719,0919,0.19,45.000,0.09
61,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,SOCAN,D.VID.P,CANA,GOSSIP GIRL,95,0719,0919,0.31,45.000,0.14
62,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,SOCAN,D.VID.P,CANA,GOSSIP GIRL,95,0719,0919,0.31,45.000,0.14
63,CRY,RUZUMNA/KEUP/DOORNINK,APPLE INC.,STREAM.M,USA,,51,1216,0320,0.01,90.000,0.01
64,CRY,RUZUMNA/KEUP/DOORNINK,ASCAP,D.PERF,USA,,,0420,0620,0.03,90.000,0.03
65,CRY,RUZUMNA/KEUP/DOORNINK,ASCAP,D.PERF,USA,APPLE SUBSCRIPT,,0420,0620,0.02,90.000,0.02
66,CRY,RUZUMNA/KEUP/DOORNINK,ASCAP,D.PERF,USA,IHEART FREE,,0420,0620,0.02,90.000,0.02
