,Song Name,Artist,Territory,Usage,A,B,Units,Period - Start,Period - End,Price,Share,Amount
0,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0490,0690,0.12,90.000,0.11
1,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0490,0690,0.04,90.000,0.04
2,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0490,0690,0.38,90.000,0.34
3,AFTERGLOW,RUZUMNA/FISK,"MUSIC REPORTS,INC.",STREAM.M,USA,USTC80912997,,1212,0419,0.02,90.000,0.02
4,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,USTC80912997,344,1212,0419,0.13,90.000,0.12
5,AFTERGLOW,RUZUMNA/FISK,IMPEL PAN EUROPEAN,STREAM.M,GRBR,,,0318,0318,0.01,90.000,0.01
6,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,CZEC,,,1018,1218,0.61,45.000,0.27
7,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,9.42,45.000,4.24
8,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,6.28,45.000,2.83
9,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,9.42,45.000,4.24
10,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,6.28,45.000,2.83
11,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,3.14,45.000,1.41
12,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,9.39,45.000,4.23
13,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,6.26,45.000,2.82
14,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,9.39,45.000,4.23
15,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,6.26,45.000,2.82
16,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0490,0690,3.13,45.000,1.41
17,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0490,0690,0.03,45.000,0.01
18,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0490,0690,2.26,45.000,1.02
19,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0490,0690,0.12,45.000,0.05
20,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0490,0690,0.02,45.000,0.01
21,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0490,0690,0.03,45.000,0.01
