,Song Name,C,Territory,Usage,A,B,Units,Period - Start,Period - End,Price,Share,Amount
0,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0780,0980,0.14,90.000,0.13
1,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0780,0980,0.03,90.000,0.03
2,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0780,0980,0.51,90.000,0.46
3,AFTERGLOW,RUZUMNA/FISK,IMPEL PAN EUROPEAN,D.PERF,GRBR,,,0917,0917,0.01,90.000,0.01
4,AFTERGLOW,RUZUMNA/FISK,IMPEL PAN EUROPEAN,DOWNLOAD,GRBR,ITUNES,1,0917,0917,0.01,90.000,0.01
5,AFTERGLOW,RUZUMNA/FISK,IMPEL PAN EUROPEAN,DOWNLOAD,GRBR,ITUNES,,0917,0917,0.03,90.000,0.03
6,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,D.PERF,ASTR,,,0717,0917,0.03,90.000,0.03
7,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,D.PERF,ASTR,,,0717,1217,0.02,90.000,0.02
8,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,DOWNLOAD,ASTR,,84,0717,0917,0.07,90.000,0.06
9,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,DOWNLOAD,ASTR,,49,1017,1217,0.04,90.000,0.04
10,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,DOWNLOAD,ASTR,859701354802,1,1017,1217,0.02,90.000,0.02
11,AFTERGLOW,RUZUMNA/FISK,"NICHION, INC JAPAN",PERF.,JAPA,,,0118,0618,2.36,90.000,2.12
12,AFTERGLOW,RUZUMNA/FISK,"NICHION, INC JAPAN",D.PERF,JAPA,,,0118,0618,0.01,90.000,0.01
13,AFTERGLOW,RUZUMNA/FISK,"NICHION, INC JAPAN",DOWNLOAD,JAPA,,,0118,0618,0.12,90.000,0.11
14,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0780,0980,2.58,45.000,1.16
15,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0780,0980,12.96,45.000,5.83
16,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0780,0980,2.58,45.000,1.16
17,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,USA,CABIN FEVER 2 S,,0780,0980,12.93,45.000,5.82
18,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0780,0980,6.29,45.000,2.83
19,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0780,0980,0.03,45.000,0.01
20,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0780,0980,6.27,45.000,2.82
21,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0780,0980,0.03,45.000,0.01
22,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,EDITION BJORLUND SWEDEN,PERF.,LATV,,,0118,0618,0.73,45.000,0.33
23,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,EDITION BJORLUND SWEDEN,PERF.,LATV,,,0118,0618,0.73,45.000,0.33
24,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,EDITION BJORLUND SWEDEN,D.PERF,SWED,,,0110,0917,0.02,45.000,0.01
