"Date","Order ID","Type","Detail","Item ID","Document","Price","AU RWT","US RWT","US BWT","Sales Tax Amount","Sales Tax Type","Amount","Site","Other Party Country","Other Party Region","Other Party City","Other Party Zipcode"
"2021-12-31 18:58:36 +1100","157227598","Author Fee","Author Fee for sale IVIP46199260","16007858","","2.75","","","","","","-2.75","AudioJungle","","","",""
"2021-12-31 18:58:36 +1100","157227598","Sale","Fast Forward (Music Standard License)","16007858","IVIP46199260","22.00","","","","","","22.00","AudioJungle","Indonesia","DKI Jakarta","Jakarta Timur","13880"
"2021-12-31 04:25:48 +1100","157207910","Author Fee","Author Fee for sale IVIP46194217","22640934","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2021-12-31 04:25:48 +1100","157207910","Sale","Happy End (Music Standard License)","22640934","IVIP46194217","32.00","","","","","","32.00","AudioJungle","Germany","","Mitterteich","95666"
"2021-12-30 23:48:51 +1100","157197799","Author Fee","Author Fee for sale IVIP46191722","19290827","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2021-12-30 23:48:51 +1100","157197799","Sale","Sad to Inspiring (Music Standard License)","19290827","IVIP46191722","32.00","","","","","","32.00","AudioJungle","China","","hangzhou",""
"2021-12-30 11:19:54 +1100","157178671","Author Fee","Author Fee for sale IVIP46187019","23103252","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2021-12-30 11:19:54 +1100","157178671","Sale","This is Ocean (Music Standard License)","23103252","IVIP46187019","25.00","","","","","","25.00","AudioJungle","Belgium","","BRUSSELS","1050"
"2021-12-30 10:56:35 +1100","157178179","Author Fee","Author Fee for sale IVIP46186925","21769296","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2021-12-30 10:56:35 +1100","157178179","Sale","Ocean Music (Music Standard License)","21769296","IVIP46186925","25.00","","","","","","25.00","AudioJungle","Belgium","","BRUSSELS","1050"
"2021-12-30 10:01:01 +1100","157177161","Author Fee","Author Fee for sale IVIP46186628","19929242","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2021-12-30 10:01:01 +1100","157177161","Sale","Crime (Music Standard License)","19929242","IVIP46186628","32.00","","","","","","32.00","AudioJungle","Italy","VR","Castelnuovo del Garda","37014"
"2021-12-30 01:32:17 +1100","157159904","Author Fee","Author Fee for sale IVIP46181931","21205515","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2021-12-30 01:32:17 +1100","157159904","Sale","Sorry (Music Standard License)","21205515","IVIP46181931","25.00","","","","","","25.00","AudioJungle","China","辽宁","沈阳","110000"
