,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
0,"Africa, You Shine",T0102472741,Channel 4 (SPD),Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,13/09/2019 , 13/09/2019,Come Dine With Me,50.00%,2,0.0200,Essex David,00070172307,2020121,
1,"Africa, You Shine",T0102472741,More4 (SPD),Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,02/02/2019 , 28/10/2019,Come Dine With Me,50.00%,6,0.0300,Essex David,00070172307,2020121,
2,"Africa, You Shine",T0102472741,Japanese (JASRAC) Online,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/04/2019 , 30/06/2020,STREAMING,50.00%,,0.0100,Essex David,00070172307,2020121,
3,All The Fun Of The Fair,T0101417417,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,OD AU-DIGITAL DOWNLOADS,50.00%,,0.0200,Essex David,00070172307,2020121,
4,America,T0101742748,Jukeboxes Soundnet,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/09/2020 , 30/09/2020,,50.00%,1076,1.6700,Essex David,00070172307,2020121,
5,America,T0101742748,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,SS AU-APPLE MUSIC [INDIVIDUAL],50.00%,,0.0500,Essex David,00070172307,2020121,
6,America,T0101742748,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,SS AU-SPOTIFY [INDIVIDUAL],50.00%,,0.0200,Essex David,00070172307,2020121,
7,America,T0101742748,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,OD AU-DIGITAL DOWNLOADS,50.00%,,0.0400,Essex David,00070172307,2020121,
8,America,T0101742748,Belgian (SABAM) General & Broadcasting,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2019 , 31/12/2019,PLUS VALUE AUDIO SYSTEM 2016,50.00%,,0.1000,Essex David,00070172307,2020121,
9,America,T0101742748,Costa Rican (ACAM) General & Broadcasting,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/09/2018 , 01/12/2018,,50.00%,,1.0500,Essex David,00070172307,2020121,
10,America,T0101742748,Danish (NCB) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 01/02/2020,NUUDAY A/S,50.00%,,0.0400,Essex David,00070172307,2020121,
11,America,T0101742748,French (SACEM) General & Broadcasting,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,28/08/2020 , 05/10/2020,MULTI UTILISATEURS,50.00%,,0.5300,Essex David,00070172307,2020121,
12,America,T0101742748,Japanese (JASRAC) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/04/2019 , 30/06/2020,YOUTUBE PREMIUM,50.00%,,0.0100,Essex David,00070172307,2020121,
13,America,T0101742748,USA (ASCAP) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,AMAZON MUSIC UNLIMITED,50.00%,,0.0100,Essex David,00070172307,2020121,
14,America,T0101742748,USA (ASCAP) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,SONGPOP,50.00%,,0.0100,Essex David,00070172307,2020121,
15,America,T0101742748,USA (ASCAP) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,SPOTIFY,50.00%,,0.0900,Essex David,00070172307,2020121,
16,America,T0101742748,USA (ASCAP) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,APPLE SUBSCRIPTION,50.00%,,0.0400,Essex David,00070172307,2020121,
17,America,T0101742748,USA (BMI) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,31/12/2019 , 31/03/2020,INTERNET,50.00%,,0.2100,Essex David,00070172307,2020121,
18,America,T0101742748,Channel 4 (SPD),Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,15/02/2019 , 15/02/2019,Come Dine With Me,50.00%,1,0.0100,Essex David,00070172307,2020121,
19,America,T0101742748,Belgian (SABAM) General & Broadcasting,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,01/01/2012 , 01/12/2013,CLASSIC 21,50.00%,,1.8200,Essex David,00070172307,2020121,
20,America,T0101742748,Belgian (SABAM) General & Broadcasting,Essex David,Stage Three Music Publishing L,,,01/01/2009 , 01/12/2011,CLASSIC 21,50.00%,,2.0300,Essex David,00070172307,2020121,
21,Beautiful Day,T0116493389,Gibraltar Live,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,07/09/2019 , 08/09/2019,Gibraltar Live - Gmf 2019 - Gib11350 - D204 Top U,50.00%,,6.2400,Essex David,00070172307,2020121,
22,Beautiful Day,T0116493389,USA (ASCAP) Online,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/01/2020 , 31/03/2020,AMAZON MUSIC UNLIMITED,50.00%,,0.0100,Essex David,00070172307,2020121,
23,Better Than I Know Myself,T0101832216,USA (BMI) Online,Cooke David Howard,Mac Kenzie Judith,Sony/ATV Music Publishing (UK),,31/12/2019 , 31/03/2020,INTERNET,25.00%,,0.4900,Essex David,00070172307,2020121,
24,Blue Without You,T0116545982,USA (ASCAP) Online,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/01/2020 , 31/03/2020,AMAZON PRIME MUSIC,50.00%,,0.0100,Essex David,00070172307,2020121,
25,Cape Horn,T0115570290,Belgian (SABAM) General & Broadcasting,Essex David,Joseph Webster Ltd,Published By Patrick,Crane Richard Arthur,01/01/2011 , 01/12/2011,GEMEENSCHAPSCEN,33.34%,,0.0400,Essex David,00070172307,2020121,
26,Circles,T0104622436,USA (BMI) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,31/12/2019 , 31/03/2020,INTERNET,50.00%,,1.1900,Essex David,00070172307,2020121,
27,City Lights,T0101765632,Jukeboxes Soundnet,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/09/2020 , 30/09/2020,,50.00%,1161,1.8100,Essex David,00070172307,2020121,
28,City Lights,T0101765632,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,WB AU-YOUTUBE GENERAL ENT,50.00%,,0.2600,Essex David,00070172307,2020121,
29,City Lights,T0101765632,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,SS AU-APPLE MUSIC [FAMILY],50.00%,,0.0400,Essex David,00070172307,2020121,
30,City Lights,T0101765632,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,SS AU-SPOTIFY [AD FUNDED],50.00%,,0.0100,Essex David,00070172307,2020121,
31,City Lights,T0101765632,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,SS AU-SPOTIFY [FAMILY],50.00%,,0.0800,Essex David,00070172307,2020121,
32,City Lights,T0101765632,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,WB AU-YOUTUBE MUSIC USAGE,50.00%,,0.0400,Essex David,00070172307,2020121,
33,City Lights,T0101765632,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,OD AU-DIGITAL DOWNLOADS,50.00%,,0.0600,Essex David,00070172307,2020121,
34,City Lights,T0101765632,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,SS AU-SPOTIFY [INDIVIDUAL],50.00%,,0.1400,Essex David,00070172307,2020121,
35,City Lights,T0101765632,Australasian (APRA) Online,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,SS AU-APPLE MUSIC [INDIVIDUAL],50.00%,,0.1400,Essex David,00070172307,2020121,
36,City Lights,T0101765632,Australian (APRA) General & Broadcasting,Essex David,Stage Three Music (Catalogues),BMG Rights Management (UK) Lim,,01/01/2020 , 31/03/2020,DR AU-FOXTEL A,50.00%,,0.2000,Essex David,00070172307,2020121,
