,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
0,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/04/2018 , 30/06/2018,,50.00%,76,0.0495,Essex David,00070172307,2020071,
1,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon Prime United Kingdom Pure Webcasting Service Single,David Essex,,,,01/10/2017 , 31/10/2017,,50.00%,1,0.0004,Essex David,00070172307,2020071,
2,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,01/10/2017 , 31/10/2017,,50.00%,30,0.0177,Essex David,00070172307,2020071,
3,(Twenty) 20 Flights Up,T0101809033,Alliance Google United Kingdom Permanent Download Service Album,David Essex,,,,01/10/2019 , 31/12/2019,,50.00%,1,0.0067,Essex David,00070172307,2020071,
4,(Twenty) 20 Flights Up,T0101809033,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/10/2019 , 31/12/2019,,50.00%,14,0.0062,Essex David,00070172307,2020071,
5,(Twenty) 20 Flights Up,T0101809033,Alliance Google France Limited Download / On Demand Streaming Service Single,David Essex,,,,01/11/2019 , 30/11/2019,,50.00%,1,0.0003,Essex David,00070172307,2020071,
6,(Twenty) 20 Flights Up,T0101809033,Alliance iTunes United Kingdom Permanent Download Service Album,David Essex,,,,29/09/2019 , 02/11/2019,,50.00%,2,0.0092,Essex David,00070172307,2020071,
7,(Twenty) 20 Flights Up,T0101809033,Alliance Napster Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,01/07/2019 , 30/09/2019,,50.00%,1,0.0003,Essex David,00070172307,2020071,
8,A Place In The Sun,T0100187481,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,01/10/2017 , 31/12/2017,,50.00%,5,0.0029,Essex David,00070172307,2020071,
9,A Place In The Sun,T0100187481,Alliance iTunes United Kingdom Permanent Download Service Album,David Essex,,,,31/03/2019 , 02/11/2019,,50.00%,4,0.0140,Essex David,00070172307,2020071,
10,A Place In The Sun,T0100187481,Australasian (APRA) Online,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/07/2019 , 30/09/2019,OD AU-DIGITAL DOWNLOADS,50.00%,,0.0100,Essex David,00070172307,2020071,
11,"Africa, You Shine",T0102472741,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/04/2018 , 30/06/2018,,50.00%,42,0.0261,Essex David,00070172307,2020071,
12,"Africa, You Shine",T0102472741,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,28/06/2019 , 26/12/2019,,50.00%,107,0.0483,Essex David,00070172307,2020071,
13,"Africa, You Shine",T0102472741,Alliance Google Russian Federation Limited Download / On Demand Streaming Serv,David Essex,,,,01/10/2019 , 31/12/2019,,50.00%,2,0.0006,Essex David,00070172307,2020071,
14,"Africa, You Shine",T0102472741,Alliance Google Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,01/10/2019 , 31/12/2019,,50.00%,3,0.0013,Essex David,00070172307,2020071,
15,"Africa, You Shine",T0102472741,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/10/2019 , 31/12/2019,,50.00%,18,0.0083,Essex David,00070172307,2020071,
16,"Africa, You Shine",T0102472741,Alliance Google Romania Limited Download / On Demand Streaming Service Single,David Essex,,,,01/12/2019 , 31/12/2019,,50.00%,1,0.0003,Essex David,00070172307,2020071,
17,"Africa, You Shine",T0102472741,Alliance iTunes United Kingdom Permanent Download Service Single,David Essex,,,,31/03/2019 , 04/05/2019,,50.00%,2,0.0119,Essex David,00070172307,2020071,
18,"Africa, You Shine",T0102472741,Alliance Napster Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,01/07/2019 , 30/09/2019,,50.00%,1,0.0003,Essex David,00070172307,2020071,
19,"Africa, You Shine",T0102472741,More4 Non Peak,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,04/01/2020 , 04/01/2020,Come Dine With Me,50.00%,2,0.1000,Essex David,00070172307,2020071,
20,"Africa, You Shine",T0102472741,More4 Public Reception,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,04/01/2020 , 04/01/2020,Come Dine With Me,50.00%,2,0.0100,Essex David,00070172307,2020071,
21,"Africa, You Shine",T0102472741,USA (ASCAP) Online,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/07/2019 , 01/09/2019,AMAZON MUSIC UN,50.00%,,0.0100,Essex David,00070172307,2020071,
