,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
0,(Twenty) 20 Flights Up,T0101809033,ARESA SIMFY AG Germany Limited Download / On Demand Streaming Service,David Essex,David Essex,,,01/07/2012 , 31/12/2014,,66.67%,3,-0.0004,Essex David,00070172307,2018041,
1,(Twenty) 20 Flights Up,T0101809033,ARESA RDIO S.A.R.L. United Kingdom Limited Download / On Demand Streaming S,David Essex,David Essex,,,01/09/2013 , 31/12/2013,,66.67%,2,0.0014,Essex David,00070172307,2018041,
2,(Twenty) 20 Flights Up,T0101809033,ARESA SPOTIFY LIMITED United Kingdom Limited Download / On Demand Stream,David Essex,David Essex,,,01/01/2014 , 30/11/2015,,66.67%,37,0.0010,Essex David,00070172307,2018041,
3,(Twenty) 20 Flights Up,T0101809033,ARESA RDIO S.A.R.L. Switzerland Limited Download / On Demand Streaming Servi,David Essex,David Essex,,,01/11/2014 , 30/11/2014,,66.67%,1,0.0008,Essex David,00070172307,2018041,
4,(Twenty) 20 Flights Up,T0101809033,ARESA YOUTUBE United Kingdom Limited Download / On Demand Streaming Serv,David Essex,David Essex,,,01/10/2015 , 31/12/2015,,66.67%,1147,0.0041,Essex David,00070172307,2018041,
5,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,01/10/2016 , 31/03/2017,,50.00%,94,0.0549,Essex David,00070172307,2018041,
6,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon Prime United Kingdom Pure Webcasting Service Single,David Essex,,,,01/01/2017 , 28/02/2017,,50.00%,2,0.0008,Essex David,00070172307,2018041,
7,(Twenty) 20 Flights Up,T0101809033,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,02/07/2017 , 30/09/2017,,50.00%,19,0.0134,Essex David,00070172307,2018041,
8,(Twenty) 20 Flights Up,T0101809033,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/04/2017 , 30/06/2017,,50.00%,4,0.0019,Essex David,00070172307,2018041,
9,(Twenty) 20 Flights Up,T0101809033,Alliance iTunes United Kingdom Permanent Download Service Album,David Essex,,,,02/07/2017 , 02/09/2017,,50.00%,3,0.0134,Essex David,00070172307,2018041,
10,(Twenty) 20 Flights Up,T0101809033,Alliance iTunes United Kingdom Permanent Download Service Single,David Essex,,,,06/08/2017 , 02/09/2017,,50.00%,1,0.0058,Essex David,00070172307,2018041,
11,(Twenty) 20 Flights Up,T0101809033,Alliance Napster Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,01/01/2017 , 31/03/2017,,50.00%,1,0.0006,Essex David,00070172307,2018041,
12,(Twenty) 20 Flights Up,T0101809033,Alliance Spotify United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/09/2017 , 30/09/2017,,50.00%,26,0.0094,Essex David,00070172307,2018041,
13,(Twenty) 20 Flights Up,T0101809033,Alliance iTunes United Kingdom Permanent Download Service Album,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,14/01/2015 , 13/06/2015,,50.00%,7,0.0323,Essex David,00070172307,2018041,
14,(Twenty) 20 Flights Up,T0101809033,Alliance Spotify United Kingdom On Demand Subs Dual Single,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,31/07/2014 , 30/06/2015,,50.00%,53,0.0220,Essex David,00070172307,2018041,
15,(Twenty) 20 Flights Up,T0101809033,Vietnamese (VCPMC) G&B,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/10/2016 , 01/12/2016,WEB02-12469,50.00%,,0.4400,Essex David,00070172307,2018041,
16,(Twenty) 20 Flights Up,T0101809033,Vietnamese (VCPMC) G&B,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/10/2016 , 01/12/2016,WEB02-14187,50.00%,,0.4400,Essex David,00070172307,2018041,
17,A Place In The Sun,T0100187481,ARESA SIMFY AG Germany Limited Download / On Demand Streaming Service,David Essex,David Essex,,,01/10/2012 , 31/12/2014,,50.00%,5,-0.0005,Essex David,00070172307,2018041,
18,A Place In The Sun,T0100187481,ARESA SPOTIFY LIMITED United Kingdom Limited Download / On Demand Stream,David Essex,David Essex,,,01/06/2014 , 31/10/2015,,50.00%,23,0.0004,Essex David,00070172307,2018041,
19,A Place In The Sun,T0100187481,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,01/10/2016 , 31/03/2017,,50.00%,4,0.0022,Essex David,00070172307,2018041,
20,"Africa, You Shine",T0102472741,ARESA SIMFY AG Germany Limited Download / On Demand Streaming Service,David Essex,David Essex,,,01/03/2013 , 31/12/2014,,50.00%,2,-0.0003,Essex David,00070172307,2018041,
21,"Africa, You Shine",T0102472741,ARESA SPOTIFY LIMITED United Kingdom Limited Download / On Demand Stream,David Essex,David Essex,,,01/09/2014 , 31/10/2015,,50.00%,43,0.0006,Essex David,00070172307,2018041,
22,"Africa, You Shine",T0102472741,ARESA NAPSTER S.A.R.L United Kingdom Limited Download / On Demand Streami,David Essex,David Essex,,,01/04/2015 , 30/06/2015,,50.00%,4,0.0012,Essex David,00070172307,2018041,
23,"Africa, You Shine",T0102472741,Alliance Google Switzerland Limited Download / On Demand Streaming Service Sing,David Essex,,,,01/04/2017 , 31/05/2017,,50.00%,2,0.0019,Essex David,00070172307,2018041,
24,"Africa, You Shine",T0102472741,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,David Essex,,,,01/04/2017 , 30/04/2017,,50.00%,1,0.0007,Essex David,00070172307,2018041,
25,"Africa, You Shine",T0102472741,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/04/2017 , 30/06/2017,,50.00%,15,0.0073,Essex David,00070172307,2018041,
26,"Africa, You Shine",T0102472741,Alliance Google Ukraine Limited Download / On Demand Streaming Service Single,David Essex,,,,01/05/2017 , 31/05/2017,,50.00%,1,0.0002,Essex David,00070172307,2018041,
27,"Africa, You Shine",T0102472741,Alliance Google Netherlands Limited Download / On Demand Streaming Service Sin,David Essex,,,,01/06/2017 , 30/06/2017,,50.00%,1,0.0006,Essex David,00070172307,2018041,
28,"Africa, You Shine",T0102472741,Alliance Napster France Limited Download / On Demand Streaming Service Single,David Essex,,,,01/04/2016 , 30/06/2016,,50.00%,2,0.0004,Essex David,00070172307,2018041,
29,"Africa, You Shine",T0102472741,Alliance Napster United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/04/2016 , 30/09/2016,,50.00%,8,0.0033,Essex David,00070172307,2018041,
30,"Africa, You Shine",T0102472741,USA (ASCAP) Online,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/04/2017 , 01/06/2017,PANDORA,50.00%,,0.0100,Essex David,00070172307,2018041,
31,"Africa, You Shine",T0102472741,Vietnamese (VCPMC) G&B,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/10/2016 , 01/12/2016,WEB02-12469,50.00%,,0.4400,Essex David,00070172307,2018041,
32,"Africa, You Shine",T0102472741,Vietnamese (VCPMC) G&B,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,01/10/2016 , 01/12/2016,WEB02-14187,50.00%,,0.4400,Essex David,00070172307,2018041,
