,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
0,(Twenty) 20 Flights Up,T0101809033,Alliance 2016 Download Residuals United Kingdom Permanent Download Service Al,David Essex,,,,01/01/2016 , 31/12/2016,,50.00%,12,0.0108,Essex David,00070172307,2020122,
1,(Twenty) 20 Flights Up,T0101809033,Alliance 2016 Download Residuals United Kingdom Permanent Download Service Si,David Essex,,,,01/01/2016 , 31/12/2016,,50.00%,1,0.0010,Essex David,00070172307,2020122,
2,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/10/2018 , 31/12/2018,,50.00%,23,0.0140,Essex David,00070172307,2020122,
3,(Twenty) 20 Flights Up,T0101809033,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,27/12/2019 , 26/03/2020,,50.00%,8,0.0061,Essex David,00070172307,2020122,
4,(Twenty) 20 Flights Up,T0101809033,Alliance Deezer United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/01/2018 , 31/12/2019,,50.00%,34,0.0165,Essex David,00070172307,2020122,
5,(Twenty) 20 Flights Up,T0101809033,Alliance Facebook  Inc United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,01/01/2020 , 31/05/2020,,50.00%,29,0.0020,Essex David,00070172307,2020122,
6,(Twenty) 20 Flights Up,T0101809033,Alliance Facebook  Inc France Limited Download / On Demand Streaming Service Si,David Essex,,,,01/02/2020 , 29/02/2020,,50.00%,1,0.0001,Essex David,00070172307,2020122,
7,(Twenty) 20 Flights Up,T0101809033,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/04/2020 , 30/06/2020,,50.00%,10,0.0046,Essex David,00070172307,2020122,
8,(Twenty) 20 Flights Up,T0101809033,Alliance iTunes United Kingdom Permanent Download Service Single,David Essex,,,,29/12/2019 , 01/02/2020,,50.00%,1,0.0059,Essex David,00070172307,2020122,
9,(Twenty) 20 Flights Up,T0101809033,Alliance Napster France Limited Download / On Demand Streaming Service Single,David Essex,,,,01/01/2020 , 31/03/2020,,50.00%,1,0.0001,Essex David,00070172307,2020122,
10,(Twenty) 20 Flights Up,T0101809033,Alliance YouTube United Kingdom Limited Download / On Demand Streaming Servic,David Essex,,,,01/09/2017 , 30/09/2017,,50.00%,3,0.0006,Essex David,00070172307,2020122,
11,(Twenty) 20 Flights Up,T0101809033,Alliance iTunes United Kingdom Permanent Download Service Single,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,31/12/2014 , 30/09/2015,,50.00%,2,0.0005,Essex David,00070172307,2020122,
12,(Twenty) 20 Flights Up,T0101809033,Alliance Online Residuals PDS United Kingdom Permanent Download Service Single,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,31/12/2014 , 30/09/2015,,50.00%,2,0.0006,Essex David,00070172307,2020122,
13,A Place In The Sun,T0100187481,Alliance 2016 Download Residuals United Kingdom Permanent Download Service Si,David Essex,,,,01/01/2016 , 31/12/2016,,50.00%,1,0.0010,Essex David,00070172307,2020122,
14,A Place In The Sun,T0100187481,Alliance 2016 Download Residuals United Kingdom Permanent Download Service Al,David Essex,,,,01/01/2016 , 31/12/2016,,50.00%,9,0.0083,Essex David,00070172307,2020122,
15,A Place In The Sun,T0100187481,Alliance Deezer Sweden Limited Download / On Demand Streaming Service Single,David Essex,,,,01/03/2018 , 31/03/2018,,50.00%,1,0.0011,Essex David,00070172307,2020122,
16,A Place In The Sun,T0100187481,Alliance Deezer France Limited Download / On Demand Streaming Service Single,David Essex,,,,01/07/2018 , 31/12/2019,,50.00%,15,0.0024,Essex David,00070172307,2020122,
17,A Place In The Sun,T0100187481,Alliance Deezer United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/04/2019 , 30/06/2019,,50.00%,2,0.0009,Essex David,00070172307,2020122,
