,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
0,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/06/2018 , 30/06/2018,,50.00%,17,0.0001,Essex David,00070172307,2020041,
1,(Twenty) 20 Flights Up,T0101809033,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,29/03/2019 , 26/09/2019,,50.00%,16,0.0119,Essex David,00070172307,2020041,
2,(Twenty) 20 Flights Up,T0101809033,Alliance Napster Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,01/01/2015 , 31/01/2015,,50.00%,1,0.0192,Essex David,00070172307,2020041,
3,A Place In The Sun,T0100187481,Alliance Napster Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,01/01/2015 , 31/01/2015,,50.00%,1,0.0192,Essex David,00070172307,2020041,
4,"Africa, You Shine",T0102472741,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/05/2018 , 30/06/2018,,50.00%,10,0.0002,Essex David,00070172307,2020041,
5,"Africa, You Shine",T0102472741,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,29/03/2019 , 26/09/2019,,50.00%,43,0.0318,Essex David,00070172307,2020041,
6,"Africa, You Shine",T0102472741,Alliance Deezer Belgium Limited Download / On Demand Streaming Service Single,David Essex,,,,01/10/2016 , 31/12/2016,,50.00%,1,0.0004,Essex David,00070172307,2020041,
7,"Africa, You Shine",T0102472741,Alliance Google Norway Limited Download / On Demand Streaming Service Single,David Essex,,,,01/07/2019 , 31/07/2019,,50.00%,1,0.0008,Essex David,00070172307,2020041,
8,"Africa, You Shine",T0102472741,Alliance Google France Limited Download / On Demand Streaming Service Single,David Essex,,,,01/08/2019 , 31/08/2019,,50.00%,1,0.0003,Essex David,00070172307,2020041,
9,"Africa, You Shine",T0102472741,4Seven Non Peak,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,16/09/2019 , 16/09/2019,Come Dine With Me,50.00%,2,0.1000,Essex David,00070172307,2020041,
