,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
0,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/01/2018 , 30/09/2018,,50.00%,121,0.0787,Essex David,00070172307,2020101,
1,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon Spain Limited Download / On Demand Streaming Service Single,David Essex,,,,01/08/2018 , 31/08/2018,,50.00%,1,0.0016,Essex David,00070172307,2020101,
2,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,01/04/2019 , 30/06/2019,,50.00%,89,0.0453,Essex David,00070172307,2020101,
3,(Twenty) 20 Flights Up,T0101809033,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,27/09/2019 , 26/12/2019,,50.00%,15,0.0113,Essex David,00070172307,2020101,
4,(Twenty) 20 Flights Up,T0101809033,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/01/2020 , 29/02/2020,,50.00%,15,0.0069,Essex David,00070172307,2020101,
5,"Africa, You Shine",T0102472741,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/01/2018 , 30/09/2018,,50.00%,49,0.0364,Essex David,00070172307,2020101,
6,"Africa, You Shine",T0102472741,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,27/09/2019 , 26/03/2020,,50.00%,62,0.0385,Essex David,00070172307,2020101,
7,"Africa, You Shine",T0102472741,Alliance Apple Music Sweden Limited Download / On Demand Streaming Service Vid,David Essex,,,,27/12/2019 , 26/03/2020,,50.00%,1,0.0007,Essex David,00070172307,2020101,
8,"Africa, You Shine",T0102472741,Alliance Deezer Belgium Limited Download / On Demand Streaming Service Single,David Essex,,,,01/04/2017 , 30/09/2017,,50.00%,2,0.0009,Essex David,00070172307,2020101,
9,"Africa, You Shine",T0102472741,Alliance Google Netherlands Limited Download / On Demand Streaming Service Sin,David Essex,,,,01/12/2019 , 31/12/2019,,50.00%,1,0.0004,Essex David,00070172307,2020101,
10,"Africa, You Shine",T0102472741,Alliance Google Romania Limited Download / On Demand Streaming Service Single,David Essex,,,,01/01/2020 , 31/01/2020,,50.00%,1,0.0003,Essex David,00070172307,2020101,
11,"Africa, You Shine",T0102472741,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/01/2020 , 31/03/2020,,50.00%,24,0.0110,Essex David,00070172307,2020101,
12,"Africa, You Shine",T0102472741,Alliance Google Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,01/01/2020 , 31/01/2020,,50.00%,2,0.0008,Essex David,00070172307,2020101,
13,"Africa, You Shine",T0102472741,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,David Essex,,,,01/01/2020 , 31/01/2020,,50.00%,2,0.0013,Essex David,00070172307,2020101,
14,"Africa, You Shine",T0102472741,Alliance Google Russian Federation Limited Download / On Demand Streaming Serv,David Essex,,,,01/02/2020 , 29/02/2020,,50.00%,1,0.0003,Essex David,00070172307,2020101,
15,"Africa, You Shine",T0102472741,Alliance Google Denmark Limited Download / On Demand Streaming Service Single,David Essex,,,,01/02/2020 , 29/02/2020,,50.00%,1,0.0008,Essex David,00070172307,2020101,
16,"Africa, You Shine",T0102472741,Alliance Google Spain Limited Download / On Demand Streaming Service Single,David Essex,,,,01/03/2020 , 31/03/2020,,50.00%,1,0.0005,Essex David,00070172307,2020101,
17,"Africa, You Shine",T0102472741,Channel 4 (SPD),Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,13/09/2019 , 13/09/2019,Come Dine With Me,50.00%,2,0.1000,Essex David,00070172307,2020101,
18,"Africa, You Shine",T0102472741,Channel 4 Non Peak,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,13/05/2020 , 13/05/2020,Come Dine With Me,50.00%,2,2.2600,Essex David,00070172307,2020101,
19,"Africa, You Shine",T0102472741,More4 (SPD),Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,02/02/2019 , 28/10/2019,Come Dine With Me,50.00%,6,0.0600,Essex David,00070172307,2020101,
20,Alice Stay Young And Free,T0113014622,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/01/2018 , 30/09/2018,,50.00%,98,0.0734,Essex David,00070172307,2020101,
21,Alice Stay Young And Free,T0113014622,Alliance Amazon Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,01/02/2018 , 28/02/2018,,50.00%,1,0.0007,Essex David,00070172307,2020101,
22,Alice Stay Young And Free,T0113014622,Alliance Amazon United Kingdom Permanent Download Service Album,David Essex,,,,01/01/2019 , 31/08/2019,,50.00%,2,0.0056,Essex David,00070172307,2020101,
23,Alice Stay Young And Free,T0113014622,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,01/04/2019 , 30/06/2019,,50.00%,60,0.0309,Essex David,00070172307,2020101,
24,Alice Stay Young And Free,T0113014622,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,27/09/2019 , 26/03/2020,,50.00%,32,0.0171,Essex David,00070172307,2020101,
25,Alice Stay Young And Free,T0113014622,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/01/2020 , 31/03/2020,,50.00%,14,0.0064,Essex David,00070172307,2020101,
26,Alice Stay Young And Free,T0113014622,Alliance Google United Kingdom Permanent Download Service Album,David Essex,,,,01/01/2020 , 31/03/2020,,50.00%,2,0.0127,Essex David,00070172307,2020101,
27,Alice Stay Young And Free,T0113014622,Alliance Napster United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/10/2019 , 31/12/2019,,50.00%,1,0.0004,Essex David,00070172307,2020101,
28,All The Fun Of The Fair,T0101417417,Alliance Amazon Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,01/01/2018 , 31/08/2018,,50.00%,3,0.0019,Essex David,00070172307,2020101,
29,All The Fun Of The Fair,T0101417417,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/01/2018 , 30/09/2018,,50.00%,747,0.4875,Essex David,00070172307,2020101,
30,All The Fun Of The Fair,T0101417417,Alliance Amazon United Kingdom Permanent Download Service Album,David Essex,,,,01/01/2019 , 31/08/2019,,50.00%,3,0.0116,Essex David,00070172307,2020101,
31,All The Fun Of The Fair,T0101417417,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,01/04/2019 , 30/06/2019,,50.00%,108,0.0552,Essex David,00070172307,2020101,
32,All The Fun Of The Fair,T0101417417,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,27/09/2019 , 26/03/2020,,50.00%,364,0.2395,Essex David,00070172307,2020101,
33,All The Fun Of The Fair,T0101417417,Alliance Deezer United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,01/01/2017 , 31/03/2018,,50.00%,22,0.0010,Essex David,00070172307,2020101,
34,All The Fun Of The Fair,T0101417417,Alliance Deezer Netherlands Limited Download / On Demand Streaming Service Sing,David Essex,,,,01/01/2017 , 31/01/2017,,50.00%,1,0.0001,Essex David,00070172307,2020101,
35,All The Fun Of The Fair,T0101417417,Alliance Deezer France Limited Download / On Demand Streaming Service Single,David Essex,,,,01/08/2017 , 31/12/2018,,50.00%,10,0.0005,Essex David,00070172307,2020101,
